ticket_id,user_id,issue_type,created_date,resolution_hours,satisfaction_score
82,52,bug,2026-07-09,23.3,1.0
83,52,feature_request,2026-07-18,32.5,2.0
84,55,feature_request,2026-09-01,52.8,3.0
85,55,how_to,2026-09-01,20.8,4.0
86,55,performance,2026-08-30,24.0,5.0
87,55,billing,2026-08-29,4.1,
88,55,feature_request,2026-08-31,15.4,5.0
89,56,feature_request,2026-06-09,5.4,
90,57,bug,2025-10-03,5.8,1.0
91,58,bug,2026-08-29,5.0,
92,58,bug,2026-08-25,1.9,4.0
93,59,feature_request,2026-07-24,25.9,2.0
94,59,billing,2026-03-10,38.2,
95,60,performance,2026-03-04,7.4,4.0
96,61,billing,2026-08-18,7.5,
97,61,billing,2026-08-29,5.1,3.0
98,62,how_to,2026-02-12,21.7,2.0
99,63,performance,2026-06-29,40.5,1.0
100,64,performance,2026-02-04,2.2,2.0
101,64,feature_request,2025-11-17,28.8,1.0
102,65,bug,2026-07-07,0.8,2.0
103,66,billing,2026-08-06,50.7,4.0
104,67,performance,2025-12-18,1.0,1.0
105,68,billing,2026-08-14,54.8,
106,69,bug,2026-09-02,44.7,5.0
107,69,bug,2026-08-22,6.9,1.0
108,69,how_to,2026-08-25,20.6,5.0
109,69,feature_request,2026-08-20,1.7,4.0
110,71,how_to,2026-01-12,46.9,4.0
111,71,billing,2026-05-28,145.1,1.0
112,71,bug,2026-03-25,6.6,5.0
113,73,how_to,2026-08-30,0.5,4.0
114,74,how_to,2026-07-26,9.0,
115,74,feature_request,2026-08-13,25.5,5.0
116,75,feature_request,2026-04-21,34.7,2.0
117,76,feature_request,2025-10-18,43.6,3.0
118,76,billing,2026-03-01,23.2,1.0
119,77,billing,2025-05-17,20.9,2.0
120,77,performance,2025-12-08,112.2,2.0
121,77,how_to,2026-06-13,33.9,5.0
122,78,bug,2025-12-04,6.2,
123,78,feature_request,2026-04-24,21.8,1.0
124,79,performance,2025-08-08,5.7,3.0
125,79,how_to,2026-01-25,130.4,4.0
126,79,how_to,2026-06-06,95.3,1.0
127,80,billing,2025-11-30,1.3,3.0
128,80,performance,2025-04-09,14.6,
129,80,feature_request,2025-10-28,27.0,4.0
130,81,feature_request,2026-06-19,16.7,3.0
131,81,performance,2025-05-15,28.2,
132,81,bug,2025-08-02,28.7,4.0
133,82,performance,2026-08-23,4.1,1.0
134,83,billing,2026-04-30,29.3,2.0
135,83,how_to,2026-05-22,14.6,2.0
136,84,billing,2025-06-16,0.5,3.0
137,84,bug,2025-07-15,36.2,2.0
138,85,how_to,2025-12-17,16.1,1.0
139,85,performance,2025-06-15,12.3,3.0
140,85,bug,2025-08-15,4.0,1.0
141,85,bug,2025-06-13,20.4,5.0
142,85,feature_request,2025-08-25,7.8,2.0
143,86,billing,2025-11-11,1.3,5.0
144,86,bug,2026-08-28,0.8,
145,86,billing,2026-08-24,13.2,
146,88,performance,2025-12-30,47.7,1.0
147,88,how_to,2026-06-20,52.1,2.0
148,88,billing,2026-01-13,5.3,2.0
149,88,performance,2026-03-17,32.1,
150,89,how_to,2025-06-14,54.6,2.0
151,89,performance,2026-04-11,23.4,1.0
152,89,performance,2026-07-08,87.0,5.0
153,90,feature_request,2026-07-28,9.8,
154,90,how_to,2026-04-06,1.7,4.0
155,91,billing,2025-08-29,11.7,1.0
156,91,feature_request,2025-03-17,1.8,2.0
157,91,feature_request,2025-05-15,5.7,
158,91,billing,2025-06-04,6.3,4.0
159,92,how_to,2025-09-06,2.6,1.0
160,95,bug,2026-01-04,38.4,3.0
161,95,feature_request,2026-03-10,9.5,1.0
162,95,performance,2026-07-07,8.5,5.0
163,95,billing,2025-11-07,6.4,2.0
164,97,how_to,2025-10-08,26.9,1.0
165,100,feature_request,2026-09-02,10.1,1.0
166,101,billing,2026-05-23,2.1,5.0
167,102,performance,2026-05-04,19.9,3.0
168,103,feature_request,2026-06-17,20.9,3.0
169,104,how_to,2026-01-09,23.5,5.0
170,105,bug,2026-05-26,2.1,5.0
171,106,feature_request,2025-12-29,41.5,3.0
172,108,billing,2025-12-27,31.0,5.0
173,109,how_to,2025-08-10,18.5,4.0
174,109,billing,2026-06-26,44.0,2.0
175,109,how_to,2026-04-26,109.2,
176,109,performance,2025-05-31,52.9,5.0
177,110,bug,2026-08-03,16.1,4.0
178,111,performance,2026-08-26,43.7,3.0
179,111,billing,2026-08-29,10.8,2.0
180,112,how_to,2026-08-15,14.5,4.0
181,112,bug,2026-09-02,34.5,1.0
182,115,feature_request,2025-12-10,20.1,4.0
183,116,how_to,2025-10-17,6.3,1.0
184,116,performance,2025-10-11,19.3,5.0
185,117,feature_request,2026-08-20,20.3,1.0
186,117,bug,2026-07-31,4.9,2.0
187,118,feature_request,2026-08-29,4.8,
188,119,billing,2025-11-19,84.1,3.0
189,119,how_to,2025-10-08,20.3,4.0
190,121,how_to,2026-03-21,2.2,4.0
191,121,bug,2026-04-04,19.5,1.0
192,122,billing,2025-12-12,26.8,1.0
193,122,how_to,2026-08-30,6.0,4.0
194,124,feature_request,2025-12-14,7.3,2.0
195,126,feature_request,2025-05-15,14.7,2.0
196,126,performance,2025-11-29,10.4,2.0
197,126,performance,2025-05-26,2.4,4.0
198,126,how_to,2026-07-29,16.0,2.0
199,127,feature_request,2026-05-01,8.3,4.0
200,129,feature_request,2025-03-23,15.1,4.0
201,130,how_to,2026-05-23,16.0,5.0
202,130,how_to,2026-07-26,13.5,5.0
203,131,how_to,2026-07-22,42.2,1.0
204,131,how_to,2026-05-08,4.5,5.0
205,131,bug,2026-08-04,0.7,1.0
206,133,feature_request,2026-01-15,22.9,5.0
207,134,how_to,2026-03-14,0.9,
208,134,how_to,2026-03-18,19.2,
209,134,billing,2026-03-18,13.8,3.0
210,135,bug,2026-05-12,0.6,
211,136,performance,2025-09-01,1.2,1.0
212,137,how_to,2025-08-12,22.5,1.0
213,138,feature_request,2026-07-08,11.5,5.0
214,139,feature_request,2025-12-02,35.6,1.0
215,139,feature_request,2025-09-01,6.5,1.0
216,139,bug,2026-02-19,27.2,5.0
217,140,billing,2026-04-05,1.6,5.0
218,140,bug,2026-07-05,0.5,2.0
219,141,bug,2026-02-01,10.2,3.0
220,141,billing,2026-01-15,0.7,5.0
221,141,billing,2025-08-21,78.2,1.0
222,142,billing,2026-08-26,22.7,4.0
223,142,billing,2026-04-09,27.2,4.0
224,143,how_to,2026-06-20,7.8,5.0
225,143,performance,2026-08-30,7.9,
226,143,performance,2026-05-30,79.4,4.0
227,143,performance,2026-06-07,0.2,5.0
228,144,performance,2026-05-24,10.0,5.0
229,144,feature_request,2025-11-05,2.0,2.0
230,144,billing,2025-12-15,14.0,4.0
231,144,billing,2025-12-09,7.3,3.0
232,145,how_to,2026-03-26,11.2,3.0
233,145,feature_request,2025-11-14,63.4,5.0
234,145,performance,2024-12-19,1.5,5.0
235,148,billing,2026-07-27,82.7,1.0
236,149,billing,2026-01-20,15.3,4.0
237,149,feature_request,2025-09-29,26.0,4.0
238,150,billing,2026-05-20,1.4,4.0
239,150,billing,2026-05-09,0.2,2.0
240,150,how_to,2026-08-18,5.7,3.0
241,150,how_to,2026-06-17,26.1,2.0
242,150,billing,2026-07-03,12.7,4.0
243,151,feature_request,2026-08-31,28.2,5.0
244,151,bug,2026-08-28,7.6,4.0
245,151,performance,2026-08-30,5.1,1.0
246,151,performance,2026-08-23,4.9,2.0
247,152,performance,2026-03-20,42.7,
248,154,performance,2026-06-26,16.3,1.0
249,154,performance,2026-05-09,8.6,2.0
250,155,billing,2026-08-27,3.0,1.0
251,155,bug,2026-08-31,19.0,
252,156,how_to,2026-04-17,64.4,1.0
253,156,how_to,2026-08-01,41.3,3.0
254,156,bug,2026-06-01,20.1,1.0
255,157,bug,2026-06-25,0.3,
256,157,how_to,2026-05-31,42.0,1.0
257,157,bug,2026-08-17,38.7,1.0
258,159,performance,2026-04-27,94.6,5.0
259,159,feature_request,2026-03-22,5.8,5.0
260,161,billing,2025-07-22,25.8,3.0
261,161,performance,2026-06-21,18.2,1.0
262,164,how_to,2026-03-06,66.9,
263,165,performance,2025-10-25,83.9,3.0
264,165,feature_request,2026-08-21,13.5,3.0
265,166,feature_request,2026-06-18,1.3,5.0
266,167,feature_request,2025-12-01,22.8,
267,167,bug,2026-03-11,7.0,
268,168,performance,2026-02-17,41.6,5.0
269,169,bug,2026-06-17,10.8,4.0
270,169,bug,2026-07-07,39.3,5.0
271,170,bug,2025-06-09,2.1,3.0
272,171,billing,2026-03-05,6.0,4.0
273,171,billing,2026-01-28,11.5,5.0
274,172,feature_request,2025-08-02,8.7,5.0
275,172,feature_request,2025-04-04,64.7,4.0
276,172,bug,2026-04-02,3.0,1.0
277,173,bug,2026-08-09,15.5,
278,173,how_to,2026-03-01,12.6,1.0
279,173,performance,2026-02-12,4.2,4.0
280,174,performance,2026-03-20,13.0,5.0
281,174,feature_request,2026-03-27,3.0,3.0
282,174,bug,2026-02-14,22.8,
283,174,performance,2026-08-05,66.9,3.0
284,175,bug,2025-12-15,10.5,1.0
285,176,how_to,2025-10-13,43.0,2.0
286,177,performance,2025-09-27,7.1,2.0
287,177,how_to,2025-09-05,2.7,5.0
288,178,performance,2025-10-21,27.0,
289,179,performance,2026-08-20,12.1,1.0
290,182,feature_request,2026-07-24,13.0,3.0
291,184,performance,2026-08-01,16.8,5.0
292,184,bug,2025-12-30,31.6,
293,185,billing,2025-12-27,52.2,5.0
294,186,billing,2026-02-25,33.5,4.0
295,186,bug,2026-08-01,18.2,3.0
296,186,how_to,2026-01-13,27.2,4.0
297,186,billing,2026-08-14,13.4,1.0
298,187,bug,2026-08-25,42.9,5.0
299,187,bug,2026-08-29,18.7,4.0
300,188,billing,2026-04-06,59.2,4.0
301,188,bug,2026-08-07,6.9,1.0
302,189,bug,2026-07-25,8.9,
303,189,billing,2026-04-21,20.4,
304,190,feature_request,2026-03-13,7.6,2.0
305,192,bug,2026-08-19,26.7,
306,192,feature_request,2025-12-16,39.3,1.0
307,192,performance,2026-08-01,70.4,
308,192,billing,2026-01-15,12.3,4.0
309,193,bug,2026-07-20,111.3,2.0
310,195,how_to,2025-11-17,66.9,3.0
311,195,billing,2026-01-31,4.8,1.0
312,195,feature_request,2025-07-02,23.4,3.0
313,197,bug,2026-01-05,13.0,3.0
314,200,performance,2026-08-29,12.0,3.0
315,200,billing,2025-10-23,2.5,2.0
316,200,feature_request,2026-07-25,0.4,2.0
317,201,billing,2026-04-01,6.4,
318,201,feature_request,2026-07-29,0.6,4.0
319,202,feature_request,2026-03-23,6.3,
320,202,billing,2025-10-10,48.7,
321,203,how_to,2026-03-18,1.0,
322,203,feature_request,2024-12-12,20.5,4.0
323,204,billing,2025-11-07,21.0,5.0
324,206,performance,2026-06-13,21.3,3.0
325,206,feature_request,2025-06-20,12.2,4.0
326,207,bug,2026-05-04,29.7,5.0
327,207,performance,2026-06-22,7.6,
328,208,bug,2026-08-05,1.2,4.0
329,208,feature_request,2026-08-03,13.3,3.0
330,209,feature_request,2025-06-26,6.2,3.0
331,209,performance,2025-05-15,40.8,1.0
332,210,bug,2026-03-04,14.4,4.0
333,211,billing,2025-11-09,5.7,1.0
334,211,bug,2026-08-27,33.5,3.0
335,213,feature_request,2026-01-26,9.8,5.0
336,214,bug,2025-12-18,4.2,
337,215,performance,2026-07-24,3.9,2.0
338,215,bug,2026-05-16,7.5,2.0
339,215,how_to,2026-07-12,10.8,
340,216,how_to,2026-05-28,0.8,5.0
341,216,performance,2026-06-18,11.9,2.0
342,217,performance,2026-08-27,24.6,3.0
343,218,bug,2026-01-03,8.5,5.0
344,218,billing,2026-03-21,6.3,5.0
345,219,billing,2025-09-19,26.8,1.0
346,220,performance,2026-08-24,4.1,
347,220,performance,2026-08-18,32.1,2.0
348,220,bug,2026-08-27,10.7,3.0
349,221,bug,2026-08-06,2.0,3.0
350,222,how_to,2025-02-12,107.0,4.0
351,223,performance,2026-07-16,15.1,
352,223,feature_request,2026-07-18,23.2,4.0
353,223,bug,2026-07-18,12.7,3.0
354,223,performance,2026-08-29,13.4,5.0
355,223,bug,2026-07-23,9.6,3.0
356,224,how_to,2025-12-21,65.4,3.0
357,224,performance,2025-10-28,28.0,4.0
358,225,performance,2025-12-11,40.9,3.0
359,225,performance,2024-10-29,1.0,4.0
360,225,feature_request,2025-09-26,53.0,2.0
361,226,bug,2026-08-08,34.8,
362,226,bug,2026-08-25,7.0,4.0
363,227,bug,2026-08-18,3.2,5.0
364,228,feature_request,2026-01-31,27.1,1.0
365,228,feature_request,2026-06-03,21.6,2.0
366,228,billing,2026-02-11,22.2,5.0
367,229,bug,2026-05-04,7.7,5.0
368,229,performance,2026-07-17,35.1,5.0
369,230,performance,2026-01-21,6.4,3.0
370,231,how_to,2026-08-27,1.5,
371,231,billing,2026-08-26,3.4,2.0
372,232,how_to,2026-08-09,31.8,5.0
373,232,feature_request,2026-05-26,10.0,3.0
374,233,feature_request,2025-11-05,15.0,5.0
375,233,how_to,2025-07-12,0.3,4.0
376,235,billing,2026-06-07,24.0,3.0
377,236,billing,2026-01-26,8.4,5.0
378,236,bug,2026-04-03,26.2,1.0
379,237,performance,2025-07-31,53.1,5.0
380,238,feature_request,2026-03-16,1.7,2.0
381,238,bug,2026-07-12,2.3,3.0
382,239,performance,2025-10-01,59.8,
383,240,how_to,2026-06-10,30.1,5.0
384,241,how_to,2026-06-27,28.7,4.0
385,242,performance,2026-08-03,0.0,5.0
386,242,feature_request,2026-08-02,7.6,4.0
387,242,how_to,2026-05-22,5.9,
388,242,how_to,2026-06-02,26.0,
389,242,billing,2026-08-10,24.1,4.0
390,243,billing,2026-08-02,31.3,1.0
391,244,performance,2025-09-25,19.5,4.0
392,245,billing,2026-04-10,2.4,1.0
393,246,performance,2026-03-07,12.3,3.0
394,246,billing,2026-07-04,31.3,3.0
395,246,how_to,2026-06-05,36.3,3.0
396,249,how_to,2026-05-19,0.3,
397,249,billing,2026-04-25,18.7,
398,250,billing,2025-08-19,19.1,5.0
399,250,how_to,2026-02-06,11.5,1.0
400,250,billing,2026-08-10,22.4,4.0
401,250,feature_request,2026-01-23,11.8,3.0
402,251,bug,2026-08-23,9.1,2.0
403,254,bug,2025-08-29,130.1,3.0
404,254,how_to,2026-07-30,21.0,5.0
405,254,feature_request,2026-04-25,40.2,1.0
406,255,feature_request,2025-11-26,12.4,1.0
407,256,feature_request,2026-08-30,3.4,4.0
408,256,performance,2026-07-31,24.0,2.0
409,258,feature_request,2026-08-09,49.5,3.0
410,258,bug,2026-04-18,16.6,
411,258,bug,2026-06-13,31.4,5.0
412,259,billing,2026-04-27,0.6,4.0
413,260,performance,2026-08-13,23.0,2.0
414,261,how_to,2026-02-19,3.2,1.0
415,262,billing,2025-11-09,15.6,2.0
416,263,billing,2026-02-02,1.4,
417,263,performance,2025-11-02,2.7,3.0
418,264,how_to,2026-07-13,24.4,4.0
419,264,bug,2026-08-02,41.2,4.0
420,266,performance,2026-06-06,8.8,1.0
421,266,how_to,2026-08-29,22.8,2.0
422,267,feature_request,2026-07-03,24.6,5.0
423,267,how_to,2026-02-14,15.1,5.0
424,267,how_to,2025-11-07,5.1,2.0
425,267,performance,2026-03-26,29.0,3.0
426,268,billing,2026-03-31,58.2,
427,270,billing,2026-05-09,34.9,1.0
428,271,how_to,2026-08-09,12.1,5.0
429,271,performance,2026-08-24,33.9,3.0
430,272,performance,2025-12-12,65.5,
431,273,billing,2025-11-12,21.1,3.0
432,274,feature_request,2026-08-14,9.9,2.0
433,274,how_to,2026-08-11,16.9,3.0
434,276,how_to,2026-03-28,12.3,4.0
435,276,bug,2025-07-27,2.9,4.0
436,276,how_to,2025-12-17,51.6,2.0
437,277,bug,2026-03-28,25.9,
438,278,bug,2025-12-02,40.3,3.0
439,278,feature_request,2025-08-03,67.7,2.0
440,279,performance,2026-03-11,15.6,3.0
441,279,performance,2025-11-16,22.1,5.0
442,280,bug,2026-04-14,3.3,2.0
443,280,performance,2025-07-09,11.9,1.0
444,282,bug,2025-05-04,1.4,2.0
445,283,how_to,2026-03-17,10.2,
446,283,billing,2026-04-12,39.0,4.0
447,283,how_to,2025-10-03,18.7,2.0
448,285,how_to,2026-05-20,8.4,3.0
449,285,feature_request,2026-06-29,3.7,4.0
450,287,how_to,2026-04-26,67.3,2.0
451,287,how_to,2026-06-19,33.8,2.0
452,288,bug,2026-02-25,15.5,4.0
453,288,performance,2026-03-26,23.9,3.0
454,289,billing,2026-08-02,67.9,5.0
455,289,performance,2026-07-22,3.2,5.0
456,290,how_to,2026-08-08,30.7,3.0
457,290,feature_request,2026-08-09,1.0,5.0
458,291,feature_request,2026-02-06,20.9,
459,292,feature_request,2026-08-15,97.1,5.0
460,292,bug,2026-08-21,2.2,5.0
461,292,bug,2026-08-22,40.4,4.0
462,292,feature_request,2026-08-29,7.9,1.0
463,292,how_to,2026-08-15,3.4,4.0
464,293,how_to,2026-05-04,1.3,5.0
465,293,feature_request,2026-05-06,22.0,1.0
466,294,bug,2025-11-08,14.0,1.0
467,294,how_to,2026-06-16,1.2,4.0
468,295,billing,2026-07-18,38.6,3.0
469,295,how_to,2026-08-18,19.4,3.0
470,295,feature_request,2026-06-28,42.0,1.0
471,296,feature_request,2024-12-21,76.1,4.0
472,296,bug,2025-05-05,18.7,1.0
473,296,performance,2026-07-03,22.3,1.0
474,298,billing,2025-03-14,1.5,5.0
475,298,billing,2025-11-20,22.3,4.0
476,299,how_to,2026-04-25,26.4,3.0
477,299,bug,2025-09-09,2.0,
478,300,feature_request,2026-08-27,4.9,3.0
479,302,performance,2026-03-17,12.2,3.0
480,303,how_to,2026-04-14,43.9,3.0
481,303,feature_request,2025-09-16,3.8,2.0
482,304,bug,2026-03-25,1.8,4.0
483,305,billing,2025-12-24,77.1,
484,305,billing,2026-05-02,1.2,1.0
485,305,how_to,2025-09-28,2.5,1.0
486,308,billing,2026-04-22,70.0,1.0
487,308,bug,2025-08-03,44.3,3.0
488,309,how_to,2026-02-20,4.5,1.0
489,312,performance,2026-07-29,10.6,
490,313,performance,2026-09-01,11.6,5.0
491,313,how_to,2026-09-01,19.4,3.0
492,313,billing,2026-08-24,1.9,5.0
493,315,feature_request,2026-05-18,16.1,5.0
494,315,how_to,2026-06-16,12.9,3.0
495,317,how_to,2026-02-24,2.5,1.0
496,318,feature_request,2025-09-17,12.0,4.0
497,318,how_to,2025-11-26,6.5,1.0
498,318,how_to,2025-12-28,2.4,5.0
499,320,billing,2026-04-03,61.4,3.0
500,320,performance,2026-03-08,1.8,4.0
501,320,how_to,2026-01-04,7.9,5.0
502,321,performance,2025-03-24,49.8,1.0
503,321,bug,2025-11-10,42.6,3.0
504,321,feature_request,2025-12-12,6.1,5.0
505,322,feature_request,2026-08-24,91.8,1.0
506,324,performance,2026-01-10,13.1,1.0
507,324,bug,2025-09-04,20.7,
508,325,bug,2026-01-20,28.3,1.0
509,325,performance,2025-12-24,3.6,
510,325,how_to,2025-12-27,12.9,4.0
511,326,billing,2026-02-15,17.6,3.0
512,327,how_to,2026-04-03,27.0,
513,328,performance,2026-03-09,4.1,5.0
514,329,bug,2026-02-03,10.5,2.0
515,329,feature_request,2025-02-04,26.6,1.0
516,329,billing,2025-11-26,15.9,2.0
517,329,performance,2025-02-26,13.0,4.0
518,330,billing,2026-08-15,20.6,3.0
519,332,feature_request,2026-08-17,5.7,4.0
520,332,bug,2026-08-01,32.5,5.0
521,334,billing,2026-08-11,7.3,3.0
522,334,performance,2026-07-25,28.5,3.0
523,335,feature_request,2026-08-11,16.1,4.0
524,335,feature_request,2026-08-15,3.4,2.0
525,335,bug,2026-08-06,7.3,3.0
526,336,feature_request,2026-08-06,8.2,3.0
527,336,billing,2025-03-09,0.2,
528,337,bug,2026-08-16,31.8,
529,339,performance,2025-05-24,15.3,4.0
530,339,bug,2026-07-27,2.3,3.0
531,340,performance,2025-12-30,17.7,
532,340,how_to,2026-06-14,54.5,3.0
533,343,how_to,2026-07-28,13.5,3.0
534,343,bug,2026-01-03,33.3,1.0
535,343,feature_request,2026-02-28,58.6,1.0
536,343,bug,2026-08-01,20.4,1.0
537,345,feature_request,2025-04-08,6.8,5.0
538,346,bug,2025-11-17,21.3,3.0
539,347,feature_request,2026-07-04,2.2,5.0
540,347,billing,2026-08-24,4.5,3.0
541,348,performance,2025-06-21,8.0,5.0
542,349,feature_request,2026-05-27,25.2,
543,349,billing,2025-05-13,26.5,4.0
544,350,performance,2026-05-18,4.0,3.0
545,350,performance,2026-03-26,52.2,5.0
546,351,performance,2026-06-18,27.3,5.0
547,351,billing,2026-07-19,64.4,2.0
548,352,how_to,2026-03-10,50.8,3.0
549,352,performance,2025-12-01,1.2,1.0
550,353,how_to,2026-03-27,7.1,3.0
551,356,performance,2026-06-23,34.1,2.0
552,356,performance,2025-09-18,34.3,2.0
553,356,billing,2026-08-11,9.0,5.0
554,357,feature_request,2025-09-29,90.1,5.0
555,358,performance,2026-01-05,36.5,
556,358,billing,2025-12-11,34.8,2.0
557,359,billing,2026-03-26,26.7,3.0
558,359,bug,2025-10-26,31.4,3.0
559,359,performance,2025-02-04,20.5,2.0
560,361,bug,2026-03-30,13.4,1.0
561,362,performance,2026-08-17,12.5,3.0
562,362,how_to,2026-04-22,7.5,
563,364,billing,2026-07-28,54.6,5.0
564,364,billing,2026-08-29,44.9,2.0
565,364,performance,2026-07-17,4.8,3.0
566,365,how_to,2025-10-18,1.5,2.0
567,365,billing,2025-12-29,16.0,1.0
568,367,how_to,2026-06-07,39.7,1.0
569,368,bug,2026-03-21,34.7,1.0
570,368,feature_request,2026-04-25,3.8,3.0
571,368,billing,2026-03-21,28.1,1.0
572,369,bug,2025-12-15,16.7,1.0
573,369,billing,2025-10-09,24.9,3.0
574,370,billing,2025-09-10,9.0,4.0
575,371,performance,2026-02-10,73.1,1.0
576,371,billing,2026-06-08,9.6,1.0
577,372,how_to,2026-06-29,46.9,3.0
578,372,performance,2026-06-28,3.4,3.0
579,372,feature_request,2026-07-23,29.3,3.0
580,372,how_to,2026-04-08,32.5,
581,373,bug,2026-05-23,49.5,
582,376,feature_request,2026-06-09,4.4,3.0
583,376,feature_request,2026-07-23,43.5,1.0
584,376,performance,2026-05-31,19.1,
585,378,performance,2025-07-20,14.8,5.0
586,378,bug,2025-04-23,42.3,4.0
587,379,performance,2026-08-04,43.8,3.0
588,379,bug,2026-05-26,26.7,1.0
589,380,feature_request,2026-05-04,31.0,
590,380,performance,2025-11-14,2.9,
591,381,billing,2026-07-18,78.1,1.0
592,381,billing,2026-04-11,27.3,
593,382,how_to,2026-08-07,6.9,
594,383,performance,2025-11-23,12.0,1.0
595,383,billing,2024-11-16,3.6,
596,385,bug,2026-08-06,10.6,2.0
597,385,bug,2025-10-27,10.1,
598,386,how_to,2025-11-26,16.9,5.0
599,386,how_to,2025-12-05,17.0,5.0
600,388,bug,2026-04-21,26.1,
601,388,how_to,2026-04-10,21.7,3.0
602,389,bug,2026-05-06,36.9,
603,391,how_to,2026-08-14,14.7,5.0
604,391,how_to,2026-04-27,7.1,2.0
605,392,performance,2025-10-11,21.8,2.0
606,392,feature_request,2026-08-15,131.0,4.0
607,393,billing,2026-01-31,1.4,1.0
608,393,performance,2026-06-12,5.5,2.0
609,394,feature_request,2025-07-14,0.0,4.0
610,395,bug,2026-08-24,3.1,5.0
611,395,how_to,2026-09-01,1.7,1.0
612,395,bug,2026-09-02,30.9,2.0
613,396,billing,2026-02-18,17.2,1.0
614,396,how_to,2026-06-26,10.3,3.0
615,397,performance,2026-06-04,2.8,4.0
616,397,feature_request,2026-02-16,0.9,2.0
617,398,how_to,2026-07-21,5.1,1.0
618,398,performance,2025-05-26,1.0,3.0
619,399,feature_request,2025-04-14,14.1,3.0
620,399,billing,2025-07-23,27.0,3.0
621,400,performance,2026-08-07,36.1,
622,400,bug,2026-02-20,14.8,
623,400,how_to,2026-06-27,107.9,1.0
624,401,billing,2026-04-15,18.6,3.0
625,401,billing,2026-07-12,116.3,2.0
626,401,feature_request,2026-01-04,46.8,1.0
627,403,feature_request,2025-11-24,12.4,3.0
628,403,how_to,2026-07-21,6.4,3.0
629,404,how_to,2026-01-16,8.8,
